               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.031163,            0.010574,                   0,             0.94083,             0.88361,              0.9684,             0.63711,            0.026502,           0.0062814,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.02425,            0.015707,                   0,             0.94083,             0.88361,              0.9684,             0.63711,            0.026502,           0.0062814,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.032182,            0.013975,                   0,              0.9421,             0.90461,              0.9658,             0.66552,            0.029142,           0.0062924,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.025822,            0.012138,                   0,             0.92731,             0.88889,             0.95259,             0.60966,            0.031828,           0.0061975,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03337,            0.014322,                   0,             0.93523,             0.88889,             0.94299,             0.61686,            0.025335,           0.0062396,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.03309,            0.012029,                   0,             0.93523,             0.88889,             0.94299,             0.61686,            0.025335,           0.0062396,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.026252,            0.014362,                   0,             0.93332,             0.88889,             0.93994,             0.64497,            0.025314,           0.0061734,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.030947,            0.012004,                   0,             0.92336,             0.88889,             0.94097,             0.63348,            0.024676,           0.0060645,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.026998,             0.01501,                   0,             0.93723,             0.82978,             0.93844,             0.62384,            0.025858,           0.0060638,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.026131,            0.010688,                   0,             0.93723,             0.82978,             0.93844,             0.62384,            0.025858,           0.0060638,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.029102,            0.012076,                   0,              0.9364,              0.8187,             0.93857,             0.66936,             0.02287,           0.0060269,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.028128,            0.010994,                   0,             0.88434,             0.85027,             0.94604,             0.65951,            0.024377,           0.0059598,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.031273,            0.011004,                   0,             0.83968,              0.8735,             0.93161,             0.65173,            0.022192,           0.0060269,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.028546,            0.013266,                   0,             0.83968,              0.8735,             0.93161,             0.65173,            0.022192,           0.0060269,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.027942,            0.011267,                   0,             0.82768,             0.88889,             0.95041,             0.67089,            0.022345,           0.0059695,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.023814,            0.010311,                   0,             0.83727,             0.85825,             0.93232,             0.64847,            0.022033,            0.005955,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.031389,            0.012686,                   0,              0.8394,             0.87175,             0.92474,             0.68414,            0.021321,           0.0059872,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.031723,            0.011647,                   0,              0.8394,             0.87175,             0.92474,             0.68414,            0.021321,           0.0059872,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.028186,            0.013402,                   0,             0.93652,             0.82028,             0.93529,             0.68531,            0.021347,           0.0059625,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.028133,            0.011953,                   0,             0.93523,             0.83333,             0.93529,             0.70987,            0.021138,           0.0059378,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.021327,            0.011067,                   0,             0.92404,             0.83333,             0.93801,             0.69307,            0.020458,           0.0058949,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.028111,            0.014846,                   0,             0.92404,             0.83333,             0.93801,             0.69307,            0.020458,           0.0058949,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.029982,            0.010505,                   0,             0.91907,             0.83333,             0.94561,             0.69166,            0.020877,           0.0058902,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.023198,             0.01151,                   0,             0.92236,             0.83333,              0.9542,             0.70628,            0.021181,           0.0058415,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.02664,            0.010962,                   0,             0.92067,             0.83333,             0.95338,             0.69286,            0.022474,           0.0057872,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020949,           0.0091254,                   0,             0.92067,             0.83333,             0.95338,             0.69286,            0.022474,           0.0057872,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024573,            0.012205,                   0,              0.9234,             0.83333,             0.95539,             0.70392,             0.02298,           0.0057423,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.026675,            0.013024,                   0,             0.94038,             0.87686,             0.96043,             0.73683,            0.023054,           0.0056805,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021239,            0.010227,                   0,             0.94045,             0.87788,             0.95621,              0.7259,            0.022434,           0.0056296,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.023096,            0.010371,                   0,             0.94045,             0.87788,             0.95621,              0.7259,            0.022434,           0.0056296,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021316,            0.012059,                   0,             0.94054,             0.87929,             0.96396,             0.72736,             0.02217,           0.0055902,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.020357,            0.013391,                   0,             0.94065,               0.881,             0.96043,             0.75055,            0.022347,           0.0055284,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.026383,             0.01589,                   0,              0.9407,              0.8817,             0.96908,             0.76291,            0.022625,           0.0054724,                   0,            0.000298,            0.000298,            0.000298
